SUBDIVISION,YEAR,ANNUAL PRECIPITATION,QUARTER,PRECIPITATION,SEVERITY,TERRAIN,CLIMATE
ANDAMAN & NICOBAR ISLANDS,1901,3373.2,Jan-Feb,136.3,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1901,3373.2,Mar-May,560.3,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1901,3373.2,Jun-Sep,1696.3,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1901,3373.2,Oct-Dec,980.3,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1902,3520.7,Jan-Feb,159.8,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1902,3520.7,Mar-May,458.3,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1902,3520.7,Jun-Sep,2185.9,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1902,3520.7,Oct-Dec,716.7,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1903,2957.4,Jan-Feb,156.7,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1903,2957.4,Mar-May,236.1,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1903,2957.4,Jun-Sep,1874,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1903,2957.4,Oct-Dec,690.6,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1904,3079.6,Jan-Feb,24.1,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1904,3079.6,Mar-May,506.9,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1904,3079.6,Jun-Sep,1977.6,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1904,3079.6,Oct-Dec,571,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1905,2566.7,Jan-Feb,1.3,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1905,2566.7,Mar-May,309.7,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1905,2566.7,Jun-Sep,1624.9,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1905,2566.7,Oct-Dec,630.8,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1906,2534.4,Jan-Feb,36.6,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1906,2534.4,Mar-May,556.1,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1906,2534.4,Jun-Sep,1465.8,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1906,2534.4,Oct-Dec,475.9,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1907,3347.9,Jan-Feb,110.7,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1907,3347.9,Mar-May,751.2,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1907,3347.9,Jun-Sep,1327.1,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1907,3347.9,Oct-Dec,1158.9,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1908,3576.4,Jan-Feb,106,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1908,3576.4,Mar-May,591,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1908,3576.4,Jun-Sep,2303.7,0,Island,Tropical
